N,p,serial_median_s,parallel_median_s,speedup
1024,1,0.134633,0.0953744,1.4116261806103105
1024,2,0.134633,0.0794544,1.6944687770595463
1024,4,0.134633,0.0504203,2.67021417960623
1024,6,0.134633,0.0428973,3.1384958960121034
1024,8,0.134633,0.0373201,3.607519808360642
1024,10,0.134633,0.0366709,3.671385212798159
1024,12,0.134633,0.0340753,3.951043717883628
2048,1,0.190844,0.23818,0.8012595515996306
2048,2,0.190844,0.152544,1.2510750996433815
2048,4,0.190844,0.0834512,2.2868934179496523
2048,6,0.190844,0.075889,2.5147781628431
2048,8,0.190844,0.0569589,3.3505562782989142
2048,10,0.190844,0.052539,3.6324254363425266
2048,12,0.190844,0.046819,4.076208376940986
4096,1,0.363529,0.378731,0.9598606926816131
4096,2,0.363529,0.223888,1.6237091760165796
4096,4,0.363529,0.157503,2.308076671555462
4096,6,0.363529,0.140786,2.5821388490332846
4096,8,0.363529,0.110967,3.276009984950481
4096,10,0.363529,0.0876489,4.147559182146039
4096,12,0.363529,0.0756759,4.803761831705999
8192,1,0.648626,0.627132,1.0342734862835894
8192,2,0.648626,0.393327,1.6490757054562744
8192,4,0.648626,0.245916,2.6375916979781717
8192,6,0.648626,0.230538,2.813531825555874
8192,8,0.648626,0.177006,3.6644294543687788
8192,10,0.648626,0.157624,4.115020555245395
8192,12,0.648626,0.135382,4.791080054955607
